date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-06-20 19:54:25,rodneysampson,Farajidc,0,0,1," ",,,,1274430421888090112,https://twitter.com/rodneysampson/status/1274430421888090112
2020-06-20 16:12:43,rodneysampson,sjresnick,1,0,1,"Thanks Scott! I’m 1.5 years in on the beard.",,,,1274374630497796096,https://twitter.com/rodneysampson/status/1274374630497796096
2020-06-20 04:55:44,rodneysampson,,1,5,12,"Excited to launch Equity.District with @bfeld:",,@bfeld,,1274204261283438592,https://twitter.com/rodneysampson/status/1274204261283438592
2020-06-20 01:16:12,rodneysampson,Sherrell_Dorsey,0,0,6," ",,,,1274149015630893057,https://twitter.com/rodneysampson/status/1274149015630893057
2020-06-20 00:51:26,rodneysampson,parmooonx,0,0,0,"Here you go,",,,,1274142781645225987,https://twitter.com/rodneysampson/status/1274142781645225987
2020-06-19 20:42:02,rodneysampson,jkk,0,0,1," ",,,,1274080017681711110,https://twitter.com/rodneysampson/status/1274080017681711110
2020-06-19 20:41:46,rodneysampson,cabrown58_brown,0,0,0," ",,,,1274079951822733322,https://twitter.com/rodneysampson/status/1274079951822733322
2020-06-19 20:41:35,rodneysampson,BuildEcosystems,0,0,1," ",,,,1274079904162885639,https://twitter.com/rodneysampson/status/1274079904162885639
2020-06-19 19:28:19,rodneysampson,racquelsimone_,1,0,0," ",,,,1274061468233859074,https://twitter.com/rodneysampson/status/1274061468233859074
2020-06-19 17:10:57,rodneysampson,,0,5,7,"Pull up to #OHUBJuneteenth, https://www.facebook.com/theeohubs/videos/313906252959930/",,,#OHUBJuneteenth,1274026898251710469,https://twitter.com/rodneysampson/status/1274026898251710469
2020-06-19 12:25:44,rodneysampson,bfeld,0,11,12,"It’s Juneteenth. I woke up very tired. Heavy. Yet, I’m very inspired by what today’s #OHUBJuneteenth 4.0 Celebration could mean for the future of the ecosysyem. I invite you join @bfeld @benhecht @RoKhanna @Sherrell_Dorsey @timnitGebru &amp; many more at 1P, http://juneteenth.ohub.at",,@bfeld @benhecht @RoKhanna @Sherrell_Dorsey @timnitGebru,#OHUBJuneteenth,1273955119403601921,https://twitter.com/rodneysampson/status/1273955119403601921
2020-06-18 16:58:11,rodneysampson,,0,12,33,"I haven’t been this excited in a very, very long time, http://juneteenth.ohub.at/",,,,1273661299004760065,https://twitter.com/rodneysampson/status/1273661299004760065
2020-06-18 14:29:31,rodneysampson,benhecht,0,1,3,"Let’s make history.",,,,1273623884546420741,https://twitter.com/rodneysampson/status/1273623884546420741
2020-06-18 06:31:53,rodneysampson,heymsrachel,1,0,3,"Congrats",,,,1273503685428023296,https://twitter.com/rodneysampson/status/1273503685428023296
2020-06-18 06:19:29,rodneysampson,Samirkaji,0,0,0,"Tell me about it.",,,,1273500565146828808,https://twitter.com/rodneysampson/status/1273500565146828808
2020-06-18 06:11:15,rodneysampson,chudson,0,1,12,"Charles, I’d like to connect you with @ArianSimone and @peachespulliam regarding their Atlanta bases Fearless Fund.",,@ArianSimone @peachespulliam,,1273498492565159937,https://twitter.com/rodneysampson/status/1273498492565159937
