date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-05-16 14:00:10,GoldmanSachs,,0,1,11,"How will consumer behavior impact the retail industry as parts of the U.S. economy begin to reopen? Jen Davis, $GS' head of retail investment banking, explains: https://click.gs.com/xq2y",,,,1261657700607410178,https://twitter.com/GoldmanSachs/status/1261657700607410178
2020-05-16 13:00:19,GoldmanSachs,,1,6,17,"“The trend in the world to a world that's demanding clean, reliable, affordable energy, I think that's unstoppable.” @bp_plc CEO Bernard Looney during a #TalksAtGS with $GS' Chairman and CEO David Solomon: https://click.gs.com/8ylj",,@bp_plc,#TalksAtGS,1261642635128836096,https://twitter.com/GoldmanSachs/status/1261642635128836096
2020-05-16 00:00:16,GoldmanSachs,,1,10,18,"How are small businesses surviving? $GS' Asahi Pompey talks with three #entrepreneurs: https://click.gs.com/edws",,,#entrepreneurs,1261446332608282624,https://twitter.com/GoldmanSachs/status/1261446332608282624
2020-05-15 23:00:18,GoldmanSachs,,3,5,11,"“One choice is you try to become the sort of person who competes with these systems or machines.” - ""A World Without Work"" author @danielsusskind gives advice to the future of the workforce: https://click.gs.com/mt6u #TalksAtGS",,@danielsusskind,#TalksAtGS,1261431240302956546,https://twitter.com/GoldmanSachs/status/1261431240302956546
2020-05-15 21:55:30,GoldmanSachs,,1,8,11,"How is ESG changing in today’s environment? $GS' John Goldstein explains: https://click.gs.com/2ruu",,,,1261414933679550465,https://twitter.com/GoldmanSachs/status/1261414933679550465
2020-05-15 20:00:16,GoldmanSachs,,3,5,18,"“I think that the network has been tested in a way that no one would have anticipated before.” - @BTGroup CEO Philip Jansen during a #TalksAtGS with $GS' President and COO John Waldron: https://click.gs.com/urzq",,@BTGroup,#TalksAtGS,1261385934186008576,https://twitter.com/GoldmanSachs/status/1261385934186008576
2020-05-15 19:00:01,GoldmanSachs,,0,6,10,"From market impacts to rethinking how we work during a pandemic, explore our research and insights relating to #COVID19: https://click.gs.com/eaaf",,,#COVID19,1261370768878759936,https://twitter.com/GoldmanSachs/status/1261370768878759936
2020-05-15 18:30:10,GoldmanSachs,,2,6,22,"“Do customers come back and start shopping again in-store, or has the habit of online shopping become so pronounced in this environment that there’s a continued massive secular shift to e-commerce?” $GS' Jen Davis on today’s retail landscape: https://click.gs.com/7w4a",,,,1261363259829112840,https://twitter.com/GoldmanSachs/status/1261363259829112840
2020-05-15 18:00:16,GoldmanSachs,,0,8,13,"“Will we be able or not to recover in a way that is greener and to recover in a way that is more inclusive?” - @UN Secretary-General @antonioguterres during a #TalksAtGS with $GS' Chairman and CEO David Solomon: https://click.gs.com/quzs",,@UN @antonioguterres,#TalksAtGS,1261355733523804160,https://twitter.com/GoldmanSachs/status/1261355733523804160
2020-05-15 16:35:21,GoldmanSachs,,0,9,44,"Listen to $GS Chairman and CEO David Solomon's 2020 commencement speech on @iHeartRadio: https://click.gs.com/t5s6 #iHeartClassOf2020",,@iHeartRadio,#iHeartClassOf2020,1261334361976246276,https://twitter.com/GoldmanSachs/status/1261334361976246276
2020-05-15 16:00:09,GoldmanSachs,,1,7,22,"Check out $GS Research’s new weekly tracker that measures progress toward reopening the US economy: https://click.gs.com/t7ab",,,,1261325507632812040,https://twitter.com/GoldmanSachs/status/1261325507632812040
2020-05-15 15:00:10,GoldmanSachs,,0,4,7,"How will retailers re-open? Brian Dodge, President of the Retail Industry Leaders Association, explains: https://click.gs.com/rhlf cc @RILAtweets",,@RILAtweets,,1261310410436808704,https://twitter.com/GoldmanSachs/status/1261310410436808704
2020-05-15 14:00:18,GoldmanSachs,,0,6,20,".@bp_plc CEO Bernard Looney discusses his continued commitment to a sustainable future during a #TalksAtGS with $GS' Chairman and CEO David Solomon: https://click.gs.com/kctg #bpNetZero",,@bp_plc,#TalksAtGS #bpNetZero,1261295344677195777,https://twitter.com/GoldmanSachs/status/1261295344677195777
